number,name,party,term_start,term_end,E_raw,v_raw,alpha_raw,E_adj,v_adj,alpha_adj,designation,rationale,milestone
11,James K. Polk,Democratic,1845,1849,0.85,0.7,0.6,0.85,0.7,0.6,Serious,"Polk demonstrated exceptional seriousness by dramatically increasing America's resource base through territorial acquisition (E), establishing effective governance infrastructure across new territories (v), and maintaining national cohesion during rapid expansion (α). He committed his entire presidency to specific, consequential goals rather than seeking re-election. His focused approach to territorial expansion represented a clear thermodynamic investment that permanently increased the nation's available energy, infrastructure capacity, and coordination capabilities.",Territorial expansion and consolidation of the United States
12,Zachary Taylor,Whig,1849,1850,0.1,-0.2,0.3,0.03,-0.07,0.1,Unserious,"Taylor's brief presidency lacked substantial impact due to his untimely death after only 16 months in office. While he added modest resources to the system through territorial organization (E_raw), his inexperience in politics reduced governmental efficiency (v_raw). His strongest contribution was in promoting order by threatening to personally lead the army against secessionists, potentially preventing early secession (alpha_raw). However, his limited time in office severely restricted his ability to achieve the activation energy needed for meaningful change, resulting in adjusted scores that fall below the threshold for seriousness.",Successful presidency and implementation of policies during his term (1849-1850)
13,Millard Fillmore,Whig,1850,1853,0.2,0.3,-0.4,0.14,0.24,-0.36,Anti-serious,"Fillmore demonstrated anti-seriousness primarily through his negative impact on social order (alpha). While he modestly increased resources through initiatives like the Perry Expedition opening Japan trade and improved some infrastructure efficiency, his enforcement of the Fugitive Slave Act deepened societal divisions. His compromises temporarily preserved the Union but intensified factional tensions and moral contradictions within the system. His actions prioritized short-term stability over addressing the fundamental thermodynamic instability of the slavery question, ultimately increasing entropy in the national system.",Preservation of the Union during pre-Civil War tensions
14,Franklin Pierce,Democratic,1853,1857,-0.3,-0.5,-0.7,-0.3,-0.5,-0.7,Anti-serious,"Pierce's presidency actively damaged the nation's stability through policies that exacerbated sectional tensions. His Kansas-Nebraska Act depleted political capital and social cohesion (negative alpha) by inflaming the slavery debate. His ineffective leadership and alcoholism reduced governmental efficiency (negative v), while his enforcement of divisive policies like the Fugitive Slave Act consumed resources without productive outcomes (negative E). Though he acquired territory through the Gadsden Purchase, his presidency overall accelerated the nation toward civil war rather than resolving fundamental conflicts.",Presidency of the United States (1853-1857)
15,James Buchanan,Democratic,1857,1861,-0.7,-0.8,-0.9,-0.7,-0.8,-0.9,Anti-serious,"Buchanan's presidency actively damaged all three dimensions of seriousness. He depleted national resources by allowing federal forts and arsenals to fall to secessionists (E). He severely weakened institutional capacity by failing to prepare the government for conflict and undermining federal authority in Southern states (v). Most critically, he catastrophically failed to maintain order, allowing the Union to fracture along sectional lines while taking no meaningful action to prevent disintegration (α). His inaction and indecision directly contributed to the system's collapse toward civil war.",Preserving the Union during pre-Civil War tensions
16,Abraham Lincoln,Republican,1861,1865,0.85,0.9,0.95,0.85,0.9,0.95,Serious,"Lincoln demonstrated exceptional seriousness across all dimensions. He mobilized unprecedented national resources (E) to preserve the Union, creating new systems for military recruitment and economic support. He dramatically improved governmental efficiency (v) through administrative reforms and strategic leadership. Most significantly, he maintained social cohesion (α) during an existential crisis, preventing complete societal collapse while simultaneously transforming the nation's fundamental relationship with slavery. His actions required immense activation energy and permanently altered the trajectory of American development.",Preservation of the Union and abolition of slavery
17,Andrew Johnson,Democratic,1865,1869,-0.7,-0.6,-0.8,-0.7,-0.6,-0.8,Anti-serious,"Johnson actively undermined Reconstruction by vetoing civil rights legislation, opposing the 14th Amendment, and pardoning former Confederates. His actions depleted resources available to freed people (E), dismantled infrastructure designed to support transition to freedom (v), and severely damaged social cohesion by enabling white supremacist governance to reassert control (α). Rather than building upon Lincoln's vision for reunification with justice, Johnson's policies enabled the rapid return of Confederate leadership and laid groundwork for Jim Crow segregation. His presidency represents a profound failure to harness the post-war moment for constructive national development.",Reconstruction of the United States after the Civil War
18,Ulysses S. Grant,Republican,1869,1877,0.7,0.4,0.6,0.7,0.32,0.42,Serious,"Grant demonstrated seriousness through his mobilization of Northern resources (E) to preserve the Union, implementing a strategy of attrition that leveraged the North's material advantage. His infrastructure development (v) included railroad expansion and attempts at economic stabilization, though hampered by corruption in his administration. His contributions to order (α) were substantial through military victory and policies promoting national reunification, though his Reconstruction efforts faced significant resistance and were ultimately incomplete. His commitment to the milestone of preserving the Union was total and successful.",Preservation of the United States as a unified nation and establishment of post-Civil War reconstruction
19,Rutherford B. Hayes,Republican,1877,1881,0.2,0.4,-0.3,0.12,0.28,-0.24,Anti-serious,"Hayes demonstrated moderate seriousness in resource allocation (supporting education and economic stability) and significant seriousness in infrastructure development (civil service reform). However, his compromise in the Compromise of 1877 that ended Reconstruction had severe negative consequences for social order by abandoning federal protection for Black citizens in the South, enabling Jim Crow laws and increased racial violence. This decision, while politically expedient, created long-term societal disorder that outweighed his positive contributions, making his presidency ultimately anti-serious in its thermodynamic impact on American society.",Reconstruction and civil service reform in post-Civil War America
20,James A. Garfield,Republican,1881,1881,0.3,0.5,0.6,0.04,0.07,0.08,Unserious,"Garfield demonstrated directional seriousness through his commitment to civil service reform, education advancement, and fiscal responsibility. However, his tragically short presidency (200 days) prevented the realization of his agenda's activation energy. His assassination by a disappointed office-seeker ironically accelerated civil service reform through the Pendleton Act, but Garfield himself lacked sufficient time to implement his vision. His potential impact was substantial, but the brevity of his presidency rendered his actual thermodynamic contribution to the system insufficient to cross the threshold of seriousness.",Presidency of the United States and implementation of civil service reform
21,Chester A. Arthur,Republican,1881,1885,0.4,0.65,0.55,0.4,0.65,0.55,Serious,"Arthur demonstrated seriousness by transforming the federal workforce from a patronage system to a merit-based one, significantly improving government efficiency. He directed resources toward modernizing the U.S. Navy and vetoed wasteful spending, showing resource stewardship. His implementation of civil service reform created lasting institutional infrastructure that improved government function for generations. By establishing order through standardized hiring practices and reducing corruption, he decreased internal disorder in the federal system. His actions required overcoming significant political resistance and personal political cost.",Civil service reform and modernization of the U.S. government in the 1880s
22,Grover Cleveland,Democratic,1885,1889,0.1,0.3,0.4,0.1,0.3,0.4,Serious,"Cleveland demonstrated seriousness through his consistent application of principles despite political costs. His fiscal conservatism preserved economic resources (E), his civil service reforms improved governmental efficiency (v), and his stance against corruption enhanced institutional order (α). His willingness to make unpopular decisions during economic crisis (maintaining gold standard, breaking strikes) showed commitment to system stability over political expediency. His vetoes of wasteful legislation demonstrated serious consideration of long-term system health over short-term political gain.",Presidency of the United States during economic crisis and political reform
23,Benjamin Harrison,Republican,1889,1893,0.35,0.4,0.25,0.28,0.34,0.18,Serious,"Harrison demonstrated seriousness through concrete actions that increased national resources, improved infrastructure, and enhanced coordination. He expanded federal revenue through tariffs (E), established regulatory frameworks through the Sherman Antitrust Act (v), and strengthened national cohesion by admitting six new states (α). His naval expansion and conservation initiatives created lasting infrastructure. Though not revolutionary, Harrison's presidency represented a substantive effort to harness America's growing industrial capacity and establish frameworks for managing its economic and territorial expansion.",Presidency of the United States (1889-1893)
24,Grover Cleveland,Democratic,1893,1897,0.1,0.3,0.4,0.1,0.3,0.4,Serious,"Cleveland demonstrated seriousness through his consistent application of principles despite political costs. His fiscal conservatism preserved economic resources (E), his civil service reforms improved governmental efficiency (v), and his stance against corruption enhanced institutional order (α). His willingness to make unpopular decisions during economic crisis (maintaining gold standard, breaking strikes) showed commitment to system stability over political expediency. His vetoes of wasteful legislation demonstrated serious consideration of long-term system health over short-term political gain.",Presidency of the United States during economic crisis and political reform
25,William McKinley,Republican,1897,1901,0.65,0.7,0.45,0.65,0.7,0.45,Serious,"McKinley significantly increased America's resource base through territorial expansion and access to new markets (E). His implementation of the gold standard and protective tariffs created stable economic infrastructure that improved efficiency of capital allocation and industrial development (v). His administration fostered national unity around economic growth and American expansionism while establishing governance structures for new territories, though with mixed results for those territories (α). His actions fundamentally altered America's position in the global system, establishing foundations for 20th century American power.",Establishing the United States as a global power and implementing the gold standard
26,Theodore Roosevelt,Republican,1901,1909,0.85,0.9,0.75,0.85,0.9,0.75,Serious,"Roosevelt demonstrated exceptional seriousness through systematic resource protection (conservation of 230+ million acres), infrastructure development (Panama Canal, national parks system), and social coordination (trust-busting, labor mediation). He fundamentally restructured America's relationship with natural resources, created enduring institutional capacity, and forged national unity around progressive ideals. His policies directly countered entropy by establishing sustainable resource management systems, efficient regulatory frameworks, and coherent national purpose during rapid industrialization.",Transforming the United States into a progressive world power with conservation of natural resources and strong federal government
27,William Howard Taft,Republican,1909,1913,0.4,0.7,0.6,0.4,0.7,0.6,Serious,"Taft demonstrated seriousness through substantial contributions to American governance infrastructure. As President, he strengthened antitrust enforcement and expanded civil service. As Chief Justice, he modernized the Supreme Court's operations and established important judicial precedents. His work improved institutional efficiency (high v_adj) by streamlining court procedures and government operations. He enhanced system coordination (positive alpha_adj) through consistent application of constitutional principles and promotion of legal stability. His resource contributions (positive E_adj) included establishing new departments and expanding America's institutional capacity.",Establishing effective governance and judicial systems in the United States
28,Woodrow Wilson,Democratic,1913,1921,0.6,0.7,-0.3,0.54,0.6,-0.23,Anti-serious,"Wilson demonstrated substantial capacity to direct resources and create enduring infrastructure through the Federal Reserve, FTC, and other progressive reforms. However, his idealistic international vision lacked pragmatic implementation, and his domestic policies increased social division through racial segregation and suppression of dissent. Despite marshalling significant resources and creating lasting institutions, Wilson's negative impact on social cohesion and order (alpha) undermined his overall seriousness. His stroke in 1919 further limited his ability to achieve his international vision.",Reshaping the international order through the League of Nations and implementing progressive domestic reforms
29,Warren G. Harding,Republican,1921,1923,0.3,0.4,-0.2,0.3,0.4,-0.2,Anti-serious,"Harding's presidency demonstrates mixed seriousness. He increased available resources (E) through tax cuts and economic policies that stimulated growth. His infrastructure efficiency (v) improved through government reorganization and the Budget and Accounting Act. However, his negative alpha score reflects his administration's corruption scandals and his failure to maintain order within his cabinet, allowing figures like Albert Fall to engage in corrupt practices. His delegation style created systemic disorder that ultimately undermined his positive contributions to resources and efficiency.",Presidency of the United States (1921-1923)
30,Calvin Coolidge,Republican,1923,1929,0.6,0.7,0.4,0.6,0.7,0.4,Serious,"Coolidge demonstrated seriousness through policies that increased available economic resources (tax cuts stimulating business growth), improved system efficiency (government spending reductions and streamlining operations), and maintained social order during rapid technological and cultural change. His laissez-faire approach allowed for economic expansion while his fiscal conservatism prevented government overreach. Though criticized for potential contributions to later economic problems, his presidency successfully navigated the immediate challenges of post-WWI economic transformation and technological revolution.",Presidency of the United States during the 1920s economic boom
31,Herbert Hoover,Republican,1929,1933,-0.6,-0.5,-0.7,-0.6,-0.5,-0.7,Anti-serious,"Hoover's response to the Great Depression demonstrated anti-seriousness across all dimensions. His policies reduced available economic resources (E) by contracting the money supply and raising tariffs, damaging international trade. His infrastructure approach (v) failed to effectively deploy existing resources, as he resisted direct relief and focused on institutional lending that didn't reach most citizens. His ideological rigidity and failure to adapt worsened social cohesion (α), increasing public desperation and political division. Despite having full presidential authority, his commitment to limited government intervention proved catastrophically misaligned with the crisis's requirements.",Leading the United States through the Great Depression and implementing effective economic recovery measures
32,Franklin D. Roosevelt,Democratic,1933,1945,0.85,0.9,0.75,0.85,0.9,0.75,Serious,"Roosevelt demonstrated exceptional seriousness by marshaling unprecedented national resources to address the Great Depression and WWII. He created new infrastructure and institutions (TVA, CCC, WPA) that dramatically improved resource utilization efficiency. His leadership unified the nation during existential crises, reducing internal disorder through shared purpose and coordinated action. His administration fundamentally transformed the relationship between government and citizens, creating enduring systems that stabilized the economy and society. FDR committed the full activation energy required to move the nation to a new stable state of economic recovery and global leadership.",Leading the United States through the Great Depression and World War II
33,Harry S. Truman,Democratic,1945,1953,0.85,0.8,0.7,0.85,0.8,0.7,Serious,"Truman demonstrated exceptional seriousness by marshaling unprecedented American resources (E) to rebuild war-torn nations and establish new international institutions. He created efficient infrastructure (v) through the Marshall Plan, NATO, and UN that converted raw American power into stable global systems. His leadership improved coordination (α) by establishing clear Cold War doctrine, rebuilding former enemies as allies, and creating international frameworks that reduced chaos. His decisions required substantial activation energy and faced significant opposition, yet he committed fully to achieving a new stable global order that endured for decades.",Establishing post-WWII global order and rebuilding Europe and Japan
34,Dwight D. Eisenhower,Republican,1953,1961,0.85,0.9,0.75,0.85,0.9,0.75,Serious,"Eisenhower demonstrated exceptional seriousness through his systematic approach to governance. He increased available resources (E) by maintaining economic growth and securing America's global position. His infrastructure initiatives, particularly the Interstate Highway System and NASA, dramatically improved system efficiency (v) by creating enduring platforms for economic growth and technological advancement. His moderate leadership style and careful management of both domestic tensions and international conflicts improved coordination (α) during a potentially chaotic period of the Cold War, preventing system collapse while enabling controlled progress.",Leading the United States through the early Cold War period while establishing domestic infrastructure and maintaining global stability
35,John F. Kennedy,Democratic,1961,1963,0.85,0.8,0.75,0.85,0.8,0.75,Serious,"Kennedy demonstrated high seriousness across all dimensions. He directed substantial new resources (E) toward national priorities including space exploration, defense, and social programs. He improved infrastructure and institutional efficiency (v) through government reforms, the Peace Corps, and scientific advancement initiatives. He enhanced social coordination (α) by navigating international crises, advancing civil rights, and inspiring national unity through his rhetoric and leadership. His actions required substantial activation energy and had lasting impact on American society, international relations, and technological development.","Leading the United States through the Cold War era, advancing civil rights, and establishing the space program with the goal of landing on the moon"
36,Lyndon B. Johnson,Democratic,1963,1969,0.85,0.75,0.6,0.85,0.75,0.48,Serious,"Johnson demonstrated exceptional seriousness by directing massive federal resources (E) toward addressing systemic social problems. He created enduring infrastructure through Medicare, Medicaid, and federal agencies (v) that efficiently converted resources into services. His civil rights legislation and War on Poverty programs improved coordination among Americans by reducing legal barriers to participation (α), though his effectiveness was limited by the divisive Vietnam War. Johnson's ability to marshal political capital and navigate complex legislative processes showed substantial capacity to overcome activation barriers to achieve transformative policy goals.",Implementation of Great Society programs and civil rights legislation
37,Richard Nixon,Republican,1969,1974,0.4,0.3,-0.6,0.4,0.3,-0.6,Anti-serious,"Nixon demonstrated mixed seriousness across dimensions. He increased resources (E) through diplomatic initiatives opening new markets and opportunities. His infrastructure improvements (v) included creating the EPA and OSHA, enhancing regulatory frameworks. However, his severely negative impact on social order (alpha) through the Watergate scandal, illegal surveillance, and abuse of power fundamentally damaged institutional trust and constitutional norms. His paranoia and willingness to subvert democratic processes created division and instability that outweighed his positive contributions, making him ultimately anti-serious to the American system.",Presidency of the United States (1969-1974)
38,Gerald Ford,Republican,1974,1977,0.3,0.4,0.7,0.21,0.32,0.63,Serious,"Ford demonstrated seriousness by stabilizing American governance during a constitutional crisis. He directed resources toward economic challenges (E) through initiatives like WIN and energy development programs. He improved institutional efficiency (v) by restoring functionality to the executive branch after Watergate paralysis. Most significantly, he increased order (α) by healing national divisions through his straightforward leadership style, pardoning Nixon (despite political cost), and focusing on transparency. His actions required substantial activation energy against political headwinds, representing a deliberate choice to prioritize national stability over partisan advantage.",Restoration of public trust in the presidency following the Watergate scandal
39,Jimmy Carter,Democratic,1977,1981,0.75,0.8,0.85,0.75,0.8,0.85,Serious,"Jimmy Carter demonstrates exceptional seriousness through his consistent commitment to humanitarian causes and peace initiatives spanning over four decades. He directed substantial resources (E) through The Carter Center and partnerships, created efficient infrastructure (v) for disease eradication and conflict resolution, and established ordered coordination (α) across international boundaries. His work required significant activation energy and produced measurable outcomes including near-eradication of Guinea worm disease, monitoring of 100+ elections, and numerous diplomatic breakthroughs that would not have occurred spontaneously without his directed effort.",Establishing a legacy of humanitarian work and peace initiatives after presidency
40,Ronald Reagan,Republican,1981,1989,0.75,0.7,0.65,0.75,0.7,0.65,Serious,"Reagan demonstrated seriousness through substantial resource allocation (increased defense spending, tax policy changes), improved system efficiency (economic deregulation, streamlined government), and enhanced social coordination (restored national confidence, clarified Cold War objectives). His administration committed sufficient activation energy to achieve significant economic and geopolitical milestones. Reagan's policies represented a coherent thermodynamic intervention that successfully redirected national energy flows toward specific objectives, rather than merely symbolic or rhetorical gestures.",Restoration of American economic strength and global standing during the 1980s
41,George H. W. Bush,Republican,1989,1993,0.4,0.6,0.5,0.32,0.54,0.35,Serious,"Bush demonstrated seriousness through pragmatic management of major geopolitical transitions and crises. He secured resources through international coalition-building for the Gulf War and budget negotiations. His infrastructure contributions included environmental legislation, disability rights framework, and post-Cold War international institutions. His moderate approach maintained social order during potentially destabilizing global changes, though his domestic vision was less transformative than his foreign policy achievements.",Successful presidency addressing post-Cold War challenges and domestic issues
42,Bill Clinton,Democratic,1993,2001,0.75,0.65,0.3,0.75,0.65,0.21,Serious,"Clinton demonstrated seriousness by substantially increasing economic resources (E) through policies that generated sustained GDP growth and a budget surplus. He improved system efficiency (v) by streamlining government operations, reforming welfare, and modernizing regulatory frameworks. His moderate approach to governance improved coordination (α) by finding compromise positions between partisan extremes, though his effectiveness was partially undermined by personal scandals. His administration successfully reached its milestone of economic prosperity while navigating significant political challenges.",Successful two-term presidency with economic growth and global influence
43,George W. Bush,Republican,2001,2009,0.3,0.1,-0.4,0.3,0.1,-0.4,Anti-serious,"While Bush increased resources through tax cuts and military spending (positive E), his administration's efficiency improvements were modest (slightly positive v). However, his leadership significantly increased internal disorder (negative alpha) through polarizing war decisions, divisive domestic policies, and crisis management failures. The Iraq War particularly damaged national cohesion, while economic policies increased inequality and the 2008 financial crisis response came late. His administration's actions ultimately increased entropy in the American system, outweighing resource and infrastructure contributions.",Presidency of the United States (2001-2009)
44,Barack Obama,Democratic,2009,2017,0.65,0.7,0.75,0.65,0.7,0.75,Serious,"Obama demonstrated seriousness across all dimensions. He directed substantial resources (E) toward economic recovery, healthcare reform, and climate initiatives. He improved system efficiency (v) through institutional reforms, technological modernization of government, and strategic policy implementation. His leadership style fostered coordination (α) through coalition-building, international diplomacy, and attempts at bipartisanship despite polarization. His presidency achieved concrete milestones including the ACA, economic recovery, and international agreements, demonstrating sufficient activation energy to overcome significant opposition and systemic inertia.",Presidency of the United States (2009-2017)
45,Donald Trump,Republican,2017,2021,0.4,0.3,-0.7,0.34,0.24,-0.63,Anti-serious,"Trump demonstrates mixed seriousness vectors with substantial capacity. He mobilizes significant resources (positive E) through fundraising, business ventures, and political capital. His administrative reforms and business approach improved some system efficiencies (positive v). However, his strongly negative alpha score reflects his polarizing effect on social cohesion, institutional trust, and factional division. This combination - bringing resources and some efficiency while significantly increasing disorder - classifies him as anti-serious, as he increases system entropy despite positive contributions in other dimensions.",Reelection to the US presidency in 2024
46,Joe Biden,Democratic,2021,2025,0.65,0.4,-0.15,0.55,0.28,-0.12,Anti-serious,"Biden demonstrates substantial resource mobilization (E_adj=0.55) through major spending bills and policy initiatives, bringing significant capital into the system. His administration shows moderate efficiency improvements (v_adj=0.28) through infrastructure development and institutional reforms. However, his presidency has struggled with coordination (alpha_adj=-0.12), as polarization has intensified despite unity rhetoric. The negative alpha score reflects increased social division and institutional friction, qualifying his administration as anti-serious despite strengths in resource acquisition and moderate infrastructure development.",Completion of presidential term with key policy objectives implemented
