name,E_raw,v_raw,alpha_raw,E_adj,v_adj,alpha_adj,designation,rationale,milestone
Geoengineering and Carbon Removal,0.6,0.4,-0.2,0.06,0.08,-0.06,Unserious,"While the US has taken initial steps toward carbon removal with significant funding increases and policy support, current commitments remain an order of magnitude below what's required for gigaton-scale deployment. The fragmented policy landscape and political polarization create coordination challenges that impede systematic development. Despite directionally positive resource allocation and infrastructure development, the insufficient activation energy across all dimensions renders current efforts unserious relative to the scale of the challenge and the stated milestone.",Deployment of large-scale carbon removal infrastructure capable of removing 1 gigaton of CO2 annually by 2035
Public Health Infrastructure Modernization (post-COVID),0.7,0.6,-0.2,0.42,0.36,-0.08,Serious (contested),"Public Health Infrastructure Modernization efforts post-COVID demonstrate seriousness through substantial resource allocation (E_adj: 0.42) and improved system efficiency through technological upgrades (v_adj: 0.36). However, political polarization and fragmentation across jurisdictions have slightly increased system disorder (alpha_adj: -0.08), creating coordination challenges. While the initiative has mobilized significant resources and improved technological capabilities, it has not fully overcome the jurisdictional fragmentation and workforce challenges needed to create a truly resilient system, resulting in a contested seriousness designation.","Establishment of a resilient, integrated, and technologically advanced public health data infrastructure capable of rapid response to future health threats"
Veterans' Health Reform and PTSD Recognition,0.7,0.6,0.5,0.56,0.45,0.35,Serious,"Veterans' health reform demonstrates seriousness through substantial resource allocation ($280B through the PACT Act), infrastructure development (expanded VA facilities, telehealth capabilities), and improved coordination (standardized PTSD protocols). The reforms address a critical thermodynamic inefficiency where human capital (veterans) was being lost to preventable conditions. The system has moved from treating PTSD as an individual weakness to recognizing it as a legitimate medical condition requiring systematic intervention, reducing entropy in how veterans navigate post-service life and improving overall system efficiency.",Comprehensive implementation of PACT Act and full recognition of PTSD as a service-connected disability with adequate treatment resources
Addiction Recovery and Harm Reduction Models,0.6,0.7,0.4,0.42,0.53,0.24,Serious,"Addiction recovery and harm reduction models demonstrate seriousness through substantial resource allocation (federal/state funding, healthcare infrastructure), improved system efficiency (evidence-based protocols reducing overdose deaths and treatment costs), and enhanced social coordination (reducing stigma, integrating care systems). The approaches have measurably reduced mortality while creating sustainable treatment pathways. Despite political resistance and implementation challenges, the field has maintained directional progress toward integrating addiction treatment into mainstream healthcare, representing a genuine thermodynamic investment against entropy in the public health system.",Widespread integration of evidence-based addiction treatment and harm reduction approaches into mainstream healthcare and public policy
Renewed American Industrial Workforce / Apprenticeship Push,0.65,0.75,0.55,0.39,0.53,0.28,Serious,"The apprenticeship push represents a serious effort to address fundamental thermodynamic constraints in the US industrial system. It increases resource inputs by developing human capital with specialized skills (E), improves conversion efficiency through standardized training pathways and industry-recognized credentials (v), and enhances coordination by aligning education systems with industry needs (α). While funding commitments remain below optimal levels, the initiative has sufficient substance to cross activation thresholds for meaningful system change, particularly in improving infrastructure for skills development.","Establishing a nationwide network of industry-recognized apprenticeship programs with 1 million new apprentices across manufacturing, construction, and technology sectors"
Cybersecurity as National Infrastructure,0.7,0.65,0.55,0.49,0.42,0.33,Serious,"Cybersecurity as National Infrastructure demonstrates seriousness through substantial resource allocation (federal funding, workforce development), improved efficiency (standardized frameworks, coordinated incident response), and enhanced order (public-private partnerships, regulatory harmonization). The federal government has committed significant resources through CISA, NIST frameworks, and sector-specific regulations, though gaps remain in workforce capacity and cross-sector coordination. The effort has successfully improved the nation's ability to detect, prevent, and respond to cyber threats, though full implementation of comprehensive infrastructure remains incomplete.","Establishing comprehensive national cybersecurity infrastructure with resilient systems, standardized protocols, and coordinated response capabilities across public and private sectors"
Electric Vehicle Ecosystem (Tesla and Beyond),0.65,0.75,0.4,0.39,0.53,0.2,Serious,"The EV ecosystem has demonstrably increased resource availability through domestic battery production and reduced oil imports (E). Infrastructure efficiency has dramatically improved through manufacturing innovations, charging networks, and battery technology advancements (v). Social coordination has been enhanced through standardization efforts, workforce development, and supply chain integration, though political polarization around EVs has limited this dimension (α). The ecosystem has committed substantial resources toward the milestone, with major players investing hundreds of billions and creating durable infrastructure with multi-decade impacts.",Mass adoption of electric vehicles with 50% of new car sales being electric by 2030
Advanced Energy R&D (Geothermal and Fusion and others),0.7,0.6,0.4,0.14,0.12,0.08,Unserious,"US advanced energy R&D shows positive directional intent across all dimensions, but falls short in activation energy. While programs like ARPA-E and the National Ignition Facility demonstrate technical capability, the committed resources (~$100B) represent only 20% of what's required for commercial viability. The fragmented, stop-start nature of funding creates inefficiencies in infrastructure development and coordination. Despite bipartisan support and recent achievements like fusion ignition, the magnitude of effort remains insufficient to overcome the thermodynamic barriers to next-generation energy systems at meaningful scale.","Commercial viability and grid integration of advanced energy technologies (geothermal, fusion, etc.)"
Data Infrastructure and Cloud Computing,0.75,0.85,0.6,0.6,0.77,0.42,Serious,"Data infrastructure and cloud computing in the US demonstrates seriousness across all dimensions. It adds substantial resources (E) through massive capital investments in physical infrastructure and energy capacity. It dramatically improves efficiency (v) by enabling resource sharing, automation, and optimization of computing resources. It enhances coordination (α) by creating standardized platforms that enable collaboration and reduce friction in information exchange. The committed resources are substantial and approaching the threshold needed for transformative national infrastructure, with strong evidence of progress toward the next milestone.","Transition to a fully integrated national cloud infrastructure with enhanced security, interoperability, and reduced technical debt"
Reproducibility and Open Science Movement,0.3,0.6,0.5,0.12,0.42,0.3,Serious,"The Reproducibility and Open Science Movement demonstrates seriousness through its systematic approach to improving scientific efficiency and reliability. It has mobilized substantial resources through federal funding agencies and private foundations, created lasting infrastructure that improves research efficiency, and is gradually reshaping scientific norms toward greater coordination and transparency. While cultural change remains incomplete and resource allocation is still modest relative to the total US research enterprise, the movement has successfully established mechanisms that reduce waste and improve the conversion of research inputs into reliable knowledge outputs.",Widespread adoption of open science practices across major US research institutions and funding agencies
